date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2012-09-01,189,2012,23,Football Park,Gold Coast,Adelaide,0,-91,0,62.5,89.0,1145.6273088329713,1576.4134612071293
2012-09-01,190,2012,23,Kardinia Park,Geelong,Sydney,1,34,1,86.0,71.5,1866.8880795251994,1626.4092170628169
2012-09-01,191,2012,23,Sydney Showground,North Melbourne,GWS,0,28,1,80.5,60.0,1530.7418875859564,1133.5125921351225
2012-09-01,192,2012,23,M.C.G.,Collingwood,Essendon,0,32,1,69.5,63.5,1723.7496487669603,1456.9573692683682
2012-09-01,193,2012,23,Subiaco,Melbourne,Fremantle,0,-61,0,53.0,80.5,1266.6679877703807,1622.5620455500728
2012-09-02,194,2012,23,M.C.G.,Port Adelaide Power,Richmond,0,0,1,76.5,79.5,1276.6970843011486,1454.9538771573446
2012-09-02,195,2012,23,Docklands,St Kilda,Carlton,0,15,1,82.0,71.0,1549.1350193868727,1524.4721250865334
2012-09-02,196,2012,23,Gabba,Western Bulldogs,Brisbane,0,-67,0,76.0,78.5,1366.0211120735362,1399.535319164313
2013-03-22,197,2013,1,Football Park,Essendon,Adelaide,0,35,1,75.0,71.0,1451.642881169657,1578.7320456332604
2013-03-23,198,2013,1,Subiaco,Fremantle,West Coast,1,28,1,77.5,70.5,1455.987587371713,1527.9988837131848
2013-03-28,199,2013,1,M.C.G.,Richmond,Carlton,0,5,1,76.0,70.5,1407.8689375624938,1510.5351229633266
2013-03-30,200,2013,1,Stadium Australia,GWS,Sydney,1,-30,0,68.0,83.0,1105.7455164366122,1620.399674971884
2013-03-30,201,2013,1,Carrara,Gold Coast,St Kilda,1,13,1,69.5,77.5,1168.3087244068402,1563.0720215100796
2013-03-30,202,2013,1,Docklands,Brisbane,Western Bulldogs,0,-68,0,61.0,88.0,1388.092865697471,1392.463565540378
2013-03-31,203,2013,1,M.C.G.,Melbourne,Port Adelaide Power,1,-79,0,65.0,75.0,1303.2424459487404,1283.7820238959994
2013-03-31,204,2013,1,Docklands,North Melbourne,Collingwood,1,-16,0,68.0,78.5,1573.5089632844667,1729.0641368656716
2013-04-01,205,2013,1,M.C.G.,Geelong,Hawthorn,0,7,1,77.0,71.0,1702.8976216161323,1696.6569814120878
2013-04-05,206,2013,2,M.C.G.,Richmond,St Kilda,0,17,1,73.0,73.0,1427.176733533268,1535.8749610145233
2013-04-06,207,2013,2,Docklands,Fremantle,Western Bulldogs,0,28,1,77.0,68.5,1474.0527975069333,1407.2748772130992
2013-04-06,208,2013,2,S.C.G.,Sydney,Gold Coast,1,41,1,71.5,70.5,1646.8740235476903,1170.5057849023965
2013-04-06,209,2013,2,Gabba,Brisbane,Adelaide,1,-19,0,70.5,80.0,1398.28155402475,1543.4774621514798
2013-04-07,210,2013,2,Subiaco,West Coast,Hawthorn,1,-50,0,68.5,78.0,1679.9336735779646,1681.926382535797
2013-04-07,211,2013,2,M.C.G.,Collingwood,Carlton,1,17,1,83.0,71.0,1737.763744554126,1491.2273269925524
